,formula,Eform
772,Ba8Sb6S17,-1.528057044758063
773,Ba8Sn4S15,-1.732108828518517
774,Ba9(FeSe4)4,-1.586076694741379
775,Ba9Fe4S15,-1.732687837857141
776,BaAg2SnS4,-1.010130186041665
777,BaAg2SnSe4,-0.96708619846354
778,BaAg8S5,-0.521217914345237
779,BaAgSbS3,-1.118060334027777
755,BaAl4S7,-1.5920549239583321
756,BaAl4Se7,-1.370573937617186
757,BaAlCu3Se4,-0.8277034954861101
758,BaAuCl,-1.427983426666666
759,BaBe2Te,0.416782308333333
760,BaBiSe3,-1.3171996901562482
761,BaBr2,-2.5807169366666702
762,BaBr3,-1.8360441825
763,BaBrCl,-2.7891997933333332
783,BaCa2I6,-1.9173063522222211
802,BaCaI4,-1.9450394541666642
790,BaCdS2,-1.583339704374998
791,BaCdSnS4,-1.280780259285716
794,BaCl2,-2.96823858
813,BaCoCu3Se4,-0.602898337708332
814,BaCoS2,-1.373191312499999
815,BaCoSe2,-1.164821326171875
816,BaCr4S7,-1.228842840624999
817,BaCrCu3Se4,-0.6699013354861111
818,BaCrS2,-1.535076967499999
819,BaCu2SnS4,-1.052913258541665
820,BaCu2SnSe4,-0.9756099205468741
821,BaCu3NiSe4,-0.597937356597221
822,BaCu4S3,-0.8240477865624981
824,BaCu6Te6S,-0.53413887625
825,BaCu6Te6Se,-0.5133388308816961
834,BaCuS2,-1.387985878749991
826,BaFe2S3,-1.226052450416665
828,BaFe2Se3,-1.041645748255207
829,BaFeS,-0.880363164166666
830,BaGa4S7,-1.258634606874999
831,BaGa4Se7,-1.145983673033856
832,BaGaCu3Se4,-0.701721057430555
837,BaHfS3,-2.139777798999998
842,BaHgS2,-1.404814385624999
843,BaI2,-2.050704712499999
845,BaIBr,-2.346634888333334
846,BaInCu3Se4,-0.6106670128935181
847,BaMg(FeS2)2,-1.0820278243749981
854,BaMgCuS2,-1.141934257999999
850,BaMnS2,-1.585543703232757
851,BaMnSnS4,-0.9505953132758621
852,BaMnSnSe4,-1.176872656936576
855,BaNaVS4,-1.5875672548399
861,BaNbS3,-1.746531285499999
874,BaNiCl3,-1.8016715189999992
875,BaNiS2,-1.437638736249999
856,BaPdCl4,-1.910062543333334
858,BaPdS2,-1.471095382499999
860,BaPt2S3,-1.229962742916658
862,BaS,-2.329565223749999
863,BaS2,-1.7528733849999991
864,BaS3,-1.4342925506249982
866,BaSbTe3,-1.041214254999998
867,BaSc3AgS6,-2.007088505833331
868,BaScCu3Se4,-1.02975280048611
869,BaScCuS3,-1.8721116820833321
871,BaSe,-2.283761781171875
872,BaSe2,-1.7082743515625
873,BaSe3,-1.391277738007811
877,BaSn2S3,-1.2595916695833291
878,BaSn2S5,-1.145194613749999
879,BaSn3S4,-1.073913655624999
881,BaSnHgS4,-1.141194678928571
882,BaSnS2,-1.543447148749999
883,BaSnS3,-1.394803844999997
903,BaSr2I6,-1.9808378822222201
913,BaSr3(ZrSe3)4,-1.88749097490625
914,BaSr3I8,-1.948005139166667
916,BaSr4Cl10,-2.903507864
897,BaSrI4,-1.9840990299999999
917,BaTaS3,-1.7826291849666651
918,BaTaSe3,-1.562408675872915
919,BaTe,-2.003574658333334
921,BaTe2,-1.474518219444442
922,BaTe3,-1.201598257499998
923,BaTeS3,-1.189533620333334
940,BaTiS3,-1.945466765166667
941,BaTiSe3,-1.770214763072915
945,BaVS3,-1.669534512499999
949,BaVSe2S,-1.533328763437499
951,BaVSe3,-1.4946184984062492
952,BaVSeS2,-1.579575895468749
953,BaY2Br8,-2.278853251363636
954,BaY2Cl8,-2.701682225454545
955,BaY3Br11,-2.262479380333332
957,BaY3Cl11,-2.708353833333334
958,BaY4Cl14,-2.680226976184211
959,BaYAgSe3,-1.773074978116318
960,BaYAgTe3,-1.4644986619444431
926,BaYBr5,-2.367110133214285
928,BaYCl5,-2.797612444285714
930,BaYCu3Se4,-0.9642272554861111
931,BaYCuS3,-1.950495586249999
932,BaYCuSe3,-1.809767559505208
933,BaYCuTe3,-1.4514473525
938,BaYI5,-1.788980515357142
942,BaZnCl4,-2.268066550833335
944,BaZnSnS4,-1.330450353035713
974,BaZrS3,-2.107697715499998
977,BaZrSe3,-1.920462955906249
971,Be2HgTe,0.703955182708332
972,Be2ReCl,0.960056829374999
973,Be2Te7Cl6,-0.9212067327777631
978,Be3S,0.298261593124999
979,Be3ZnS4,-1.201725221874999
963,BeBr2,-1.399311373333333
969,BeCl2,-1.846174582499999
970,BeCuBr,0.5713827866666661
980,BeI2,-0.836349655000001
982,BeS,-1.307732301249999
985,BeSe,-1.029387863671874
986,BeTcSe,0.416852705885416
988,BeTe,-0.570361940833332
989,BeW2Cl,0.8665887737500001
990,BeZn3S4,-1.081724485624999
991,BeZnS2,-1.127432804999999
992,Bi(Mo2Cl5)3,-1.355434271022727
993,Bi(Mo3S4)2,-0.6982344635000001
994,Bi(SbTe2)3,-0.407621484999999
996,Bi(TeBr2)2,-0.79017171547619
998,Bi(W2Cl5)3,-1.190204796704546
999,Bi(WBr3)3,-0.939206879807692
1000,Bi11(Se4Cl3)3,-0.681748986992179
1001,Bi12PtCl12,-0.921500333600001
1004,Bi13Pt3I7,-0.39108328391304403
1007,Bi14PdBr16,-0.8021178096774201
1008,Bi14Te13S8,-0.32145542660715104
1009,Bi16Pt11I6,-0.35774862833333404
1010,Bi19(S9Br)3,-0.6773899513775511
1011,Bi19(S9I)3,-0.642151824642857
1013,Bi2(Pb2S3)3,-0.7432608783823521
1015,Bi2(PbS2)3,-0.721297862727272
1016,Bi20(PtBr12)3,-0.9782524427118651
1017,Bi20(PtI12)3,-0.6546596750847461
1018,Bi24Ru3Br20,-0.651331297340426
1077,Bi2IBr,-0.61161366875
1078,Bi2Pb2S5,-0.6893279347222211
1079,Bi2Pb2Se5,-0.538185836145828
1080,Bi2PbS4,-0.67864431642857
1081,Bi2PbSe4,-0.502461465178571
1084,Bi2Pd3S2,-0.388550415803572
1086,Bi2Pd3Se2,-0.37629585187499903
1019,Bi2Pt3Se2,-0.35899048144645
1020,Bi2Rh3S2,-0.519016867142856
1021,Bi2S,-0.062403191493056
1022,Bi2S3,-0.414615469187504
1023,Bi2Sb2(TeSe)3,-0.531774874703125
1024,Bi2Sb2Te3,-0.274534377142857
1027,Bi2Se,-0.174319747187505
1028,Bi2Se2Cl7,-0.8055432908749931
1029,Bi2Se2S,-0.40426591368749304
1033,Bi2Se3,-0.43407693543750203
1034,Bi2Se4Cl7,-0.6955102997115381
1035,Bi2Se5Cl7,-0.6369386956138681
1036,Bi2Te,-0.032570739444433006
